觀測時間(hour),氣溫(℃),露點溫度(℃),相對溼度(%),AH(g/m³)
2015-01-03-13,20.9,11.3,54,9.884
2015-01-03-14,20.8,11.5,55,10.019
2015-01-03-15,20.6,12.4,59,10.639
2015-01-03-16,19.7,12.2,62,10.532
2015-01-03-17,18.7,12.5,67,10.779
2015-01-03-18,17.6,12.0,70,10.469
2015-01-03-19,17.2,11.7,70,10.278
2015-01-03-20,16.9,11.3,70,10.02
2015-01-03-21,16.6,11.2,70,9.964
2015-01-03-22,16.9,11.0,68,9.822
2015-01-03-23,16.7,10.9,69,9.764
2015-01-03-24,15.9,11.0,73,9.856
2015-01-04-01,15.6,11.2,75,9.999
2015-01-04-02,15.2,10.9,75,9.815
2015-01-04-03,15.2,10.9,75,9.815
2015-01-04-04,14.9,10.7,76,9.695
2015-01-04-05,14.4,10.6,78,9.648
2015-01-04-06,14.2,10.8,80,9.784
2015-01-04-07,14.7,11.2,80,10.03
2015-01-04-08,15.5,11.6,78,10.271
2015-01-04-09,17.3,12.0,71,10.48
2015-01-04-10,20.4,12.1,59,10.438
2015-01-04-11,22.3,11.9,52,10.235
2015-01-04-12,24.2,12.0,46,10.237
2015-01-04-13,25.3,11.9,43,10.132
2015-01-04-14,25.1,12.5,45,10.547
2015-01-04-15,25.0,11.6,43,9.943
2015-01-04-16,23.8,11.7,47,10.05
2015-01-04-17,21.9,12.9,57,10.945
2015-01-04-18,20.1,12.5,62,10.727
2015-01-04-19,19.2,12.7,66,10.902
2015-01-04-20,18.8,12.9,69,11.061
2015-01-04-21,18.4,12.3,68,10.649
2015-01-04-22,18.0,12.3,69,10.663
2015-01-04-23,17.8,12.6,72,10.883
2015-01-04-24,17.9,12.6,71,10.879
2015-01-05-01,17.6,12.5,72,10.819
2015-01-05-02,17.6,11.8,69,10.332
2015-01-05-03,17.2,11.6,70,10.21
2015-01-05-04,16.9,11.5,70,10.154
2015-01-05-05,17.2,11.3,68,10.01
2015-01-05-06,16.9,11.2,69,9.954
2015-01-05-07,16.7,11.2,70,9.961
2015-01-05-08,18.3,11.9,66,10.375
2015-01-05-09,21.0,13.0,60,11.05
2015-01-05-10,23.5,13.2,52,11.101
2015-01-05-11,24.8,11.6,44,9.95
2015-01-05-12,25.7,12.2,43,10.321
2015-01-05-13,26.8,12.6,41,10.557
2015-01-05-14,27.0,12.7,41,10.619
2015-01-05-15,25.1,14.3,51,11.86
2015-01-05-16,24.9,14.2,51,11.792
2015-01-05-17,24.2,14.1,53,11.743
2015-01-05-18,22.8,13.5,56,11.348
2015-01-05-19,21.9,13.3,58,11.235
2015-01-05-20,20.7,14.2,66,11.96
2015-01-05-21,20.5,14.5,68,12.203
2015-01-05-22,20.2,14.1,68,11.903
2015-01-05-23,19.3,14.2,72,12.018
2015-01-05-24,19.0,14.3,74,12.108
2015-01-06-01,18.7,14.5,77,12.278
2015-01-06-02,18.4,14.6,79,12.371
2015-01-06-03,17.7,14.7,83,12.481
2015-01-06-04,17.8,14.8,83,12.557
2015-01-06-05,17.8,15.0,84,12.72
2015-01-06-06,18.6,14.8,79,12.523
2015-01-06-07,19.3,14.4,73,12.174
2015-01-06-08,20.5,14.5,68,12.203
2015-01-06-09,21.4,15.4,69,12.892
2015-01-06-10,23.8,14.9,57,12.383
2015-01-06-11,25.4,15.7,55,12.966
2015-01-06-12,25.8,16.1,55,13.284
2015-01-06-13,26.7,17.0,55,14.024
2015-01-06-14,26.7,17.2,56,14.203
2015-01-06-15,26.4,17.2,57,14.217
2015-01-06-16,25.7,17.0,59,14.071
2015-01-06-17,23.3,17.0,68,14.185
2015-01-06-18,22.6,17.4,72,14.583
2015-01-06-19,22.5,16.2,68,13.518
2015-01-06-20,21.2,16.4,74,13.752
2015-01-06-21,20.7,16.3,76,13.688
2015-01-06-22,19.5,16.2,81,13.657
2015-01-06-23,18.7,15.9,84,13.434
2015-01-06-24,18.5,15.9,85,13.443
2015-01-07-01,18.2,15.8,86,13.372
2015-01-07-02,18.4,16.0,86,13.534
2015-01-07-03,18.4,15.8,85,13.362
2015-01-07-04,18.6,15.9,84,13.439
2015-01-07-05,18.4,15.8,85,13.362
2015-01-07-06,18.3,15.6,84,13.197
2015-01-07-07,18.3,15.4,83,13.029
2015-01-07-08,18.1,15.4,84,13.038
2015-01-07-09,18.2,15.3,83,12.95
2015-01-07-10,18.4,15.0,81,12.694
2015-01-07-11,19.6,15.3,76,12.888
2015-01-07-12,19.9,15.1,74,12.71
2015-01-07-13,20.6,15.0,70,12.599
2015-01-07-14,21.0,15.0,69,12.582
2015-01-07-15,21.2,14.9,67,12.492
2015-01-07-16,20.3,14.1,68,11.899
2015-01-07-17,18.9,13.4,70,11.424
2015-01-07-18,17.5,12.8,74,11.038
2015-01-07-19,16.8,12.3,75,10.708
2015-01-07-20,15.8,11.5,76,10.192
2015-01-07-21,15.4,10.7,74,9.678
2015-01-07-22,15.1,10.6,74,9.624
2015-01-07-23,14.9,10.4,74,9.503
2015-01-07-24,14.6,10.0,74,9.262
2015-01-08-01,14.5,9.6,72,9.02
2015-01-08-02,14.2,9.1,71,8.73
2015-01-08-03,13.6,8.4,71,8.344
2015-01-08-04,13.4,8.2,71,8.237
2015-01-08-05,13.6,8.2,70,8.231
2015-01-08-06,13.8,8.1,68,8.17
2015-01-08-07,13.7,8.0,68,8.117
2015-01-08-08,13.8,7.9,68,8.059
2015-01-08-09,13.9,8.1,68,8.167
2015-01-08-10,14.7,8.1,65,8.144
2015-01-08-11,14.7,8.0,64,8.089
2015-01-08-12,15.8,8.4,61,8.28
2015-01-08-13,16.4,8.6,60,8.376
2015-01-08-14,17.1,8.8,58,8.47
2015-01-08-15,17.5,9.2,58,8.69
2015-01-08-16,17.7,9.5,59,8.861
2015-01-08-17,17.7,8.7,56,8.395
2015-01-08-18,16.8,9.3,61,8.77
2015-01-08-19,15.8,9.0,64,8.624
2015-01-08-20,15.6,9.0,65,8.63
2015-01-08-21,15.7,9.0,64,8.627
2015-01-08-22,15.7,8.9,64,8.569
2015-01-08-23,15.5,8.6,63,8.402
2015-01-08-24,14.8,7.9,63,8.031
2015-01-09-01,14.1,7.9,66,8.051
2015-01-09-02,14.1,7.6,65,7.888
2015-01-09-03,13.9,7.6,66,7.893
2015-01-09-04,13.6,7.8,68,8.01
2015-01-09-05,13.2,7.6,69,7.913
2015-01-09-06,12.9,7.4,69,7.814
2015-01-09-07,12.6,7.1,69,7.663
2015-01-09-08,13.4,7.8,69,8.016
2015-01-09-09,14.4,8.4,67,8.321
2015-01-09-10,16.1,9.7,66,9.03
2015-01-09-11,18.8,11.3,62,9.955
2015-01-09-12,19.9,12.0,60,10.387
2015-01-09-13,21.0,11.8,56,10.213
2015-01-09-14,21.2,10.8,51,9.551
2015-01-09-15,20.9,10.6,52,9.434
2015-01-09-16,20.2,10.4,53,9.332
2015-01-09-17,19.7,11.5,59,10.057
2015-01-09-18,18.4,11.4,64,10.035
2015-01-09-19,17.2,11.1,67,9.878
2015-01-09-20,16.6,11.3,71,10.03
2015-01-09-21,16.0,11.4,74,10.118
2015-01-09-22,15.9,11.5,75,10.189
2015-01-09-23,16.1,11.5,74,10.182
2015-01-09-24,16.0,11.0,72,9.853
2015-01-10-01,15.5,10.4,72,9.483
2015-01-10-02,15.4,10.2,71,9.361
2015-01-10-03,14.9,10.0,72,9.252
2015-01-10-04,14.8,9.7,71,9.071
2015-01-10-05,14.2,9.5,73,8.969
2015-01-10-06,14.2,9.4,73,8.909
2015-01-10-07,13.8,9.4,75,8.921
2015-01-10-08,14.5,10.1,75,9.327
2015-01-10-09,16.1,10.8,71,9.72
2015-01-10-10,17.7,11.0,65,9.795
2015-01-10-11,19.4,11.2,59,9.869
2015-01-10-12,20.9,10.8,52,9.561
2015-01-10-13,21.0,10.8,52,9.558
2015-01-10-14,20.9,10.5,51,9.372
2015-01-10-15,20.6,11.0,54,9.699
2015-01-10-16,19.9,10.8,56,9.593
2015-01-10-17,18.9,10.9,60,9.691
2015-01-10-18,18.1,10.8,62,9.653
2015-01-10-19,17.9,10.7,63,9.595
2015-01-10-20,17.3,11.4,68,10.073
2015-01-10-21,16.5,11.8,74,10.371
2015-01-10-22,16.2,11.8,75,10.382
2015-01-10-23,15.9,11.5,75,10.189
2015-01-10-24,15.7,11.4,76,10.129
2015-01-11-01,15.6,10.9,74,9.801
2015-01-11-02,15.5,11.1,75,9.936
2015-01-11-03,15.1,10.8,75,9.753
2015-01-11-04,14.9,10.4,74,9.503
2015-01-11-05,14.5,10.2,75,9.39
2015-01-11-06,14.5,10.1,75,9.327
2015-01-11-07,14.2,10.2,77,9.4
2015-01-11-08,14.7,11.1,79,9.964
2015-01-11-09,17.7,12.3,71,10.674
2015-01-11-10,19.3,12.3,64,10.616
2015-01-11-11,20.4,12.2,59,10.507
2015-01-11-12,21.9,12.6,56,10.732
2015-01-11-13,22.5,13.8,58,11.583
2015-01-11-14,22.6,13.3,56,11.208
2015-01-11-15,22.5,12.7,54,10.781
2015-01-11-16,22.5,11.9,51,10.228
2015-01-11-17,21.3,12.7,58,10.824
2015-01-11-18,20.2,12.9,63,11.008
2015-01-11-19,19.3,13.1,67,11.188
2015-01-11-20,18.4,13.1,71,11.222
2015-01-11-21,17.6,12.6,72,10.891
2015-01-11-22,17.3,12.6,74,10.902
2015-01-11-23,17.3,12.5,73,10.831
2015-01-11-24,17.2,12.4,73,10.763
2015-01-12-01,17.6,12.7,73,10.962
2015-01-12-02,17.0,12.2,73,10.63
2015-01-12-03,16.9,12.5,75,10.845
2015-01-12-04,17.0,12.4,74,10.771
2015-01-12-05,16.8,12.2,74,10.637
2015-01-12-06,17.0,12.2,73,10.63
2015-01-12-07,17.3,12.4,73,10.76
2015-01-12-08,17.8,12.8,73,11.027
2015-01-12-09,19.2,14.0,72,11.867
2015-01-12-10,21.2,14.3,65,12.018
2015-01-12-11,22.2,14.3,61,11.977
2015-01-12-12,23.5,13.9,55,11.619
2015-01-12-13,23.5,12.9,51,10.886
2015-01-12-14,22.5,14.3,60,11.965
2015-01-12-15,22.8,13.9,57,11.647
2015-01-12-16,22.1,12.9,56,10.938
2015-01-12-17,21.9,12.0,53,10.317
2015-01-12-18,21.1,13.4,61,11.339
2015-01-12-19,20.8,13.1,61,11.131
2015-01-12-20,20.7,12.8,61,10.918
2015-01-12-21,19.8,13.8,68,11.69
2015-01-12-22,19.3,13.8,70,11.71
2015-01-12-23,18.8,13.7,72,11.654
2015-01-12-24,18.6,13.8,74,11.738
2015-01-13-01,18.5,13.7,74,11.666
2015-01-13-02,18.0,13.7,76,11.686
2015-01-13-03,18.0,13.8,76,11.762
2015-01-13-04,17.9,14.0,78,11.92
2015-01-13-05,17.7,14.5,82,12.321
2015-01-13-06,17.5,14.6,83,12.409
2015-01-13-07,17.7,14.8,83,12.561
2015-01-13-08,18.7,14.8,78,12.518
2015-01-13-09,20.5,14.9,70,12.522
2015-01-13-10,20.7,15.8,74,13.258
2015-01-13-11,22.0,16.5,71,13.802
2015-01-13-12,21.9,16.3,71,13.632
2015-01-13-13,22.0,16.1,69,13.455
2015-01-13-14,21.3,15.9,71,13.316
2015-01-13-15,20.2,15.2,73,12.779
2015-01-13-16,19.7,15.0,74,12.637
2015-01-13-17,18.6,14.6,78,12.362
2015-01-13-18,18.2,14.5,79,12.299
2015-01-13-19,17.7,14.2,80,12.084
2015-01-13-20,17.2,14.2,83,12.104
2015-01-13-21,16.3,14.1,87,12.064
2015-01-13-22,15.8,14.1,90,12.085
2015-01-13-23,16.1,13.9,87,11.916
2015-01-13-24,16.1,14.3,89,12.229
2015-01-14-01,16.4,14.4,88,12.296
2015-01-14-02,16.5,14.7,89,12.532
2015-01-14-03,16.7,15.2,91,12.934
2015-01-14-04,16.8,15.0,89,12.764
2015-01-14-05,16.5,14.7,89,12.532
2015-01-14-06,16.5,15.0,91,12.777
2015-01-14-07,16.7,15.5,93,13.185
2015-01-14-08,16.9,15.7,93,13.346
2015-01-14-09,17.2,16.4,95,13.941
2015-01-14-10,16.2,14.7,91,12.545
2015-01-14-11,16.5,14.2,86,12.134
2015-01-14-12,17.6,14.3,81,12.166
2015-01-14-13,19.1,14.4,74,12.182
2015-01-14-14,19.8,14.1,70,11.92
2015-01-14-15,20.9,14.2,66,11.952
2015-01-14-16,20.3,13.7,66,11.594
2015-01-14-17,19.7,13.2,66,11.246
2015-01-14-18,18.0,12.9,72,11.092
2015-01-14-19,16.7,12.8,78,11.069
2015-01-14-20,15.9,12.3,79,10.741
2015-01-14-21,15.4,11.8,79,10.411
2015-01-14-22,15.0,11.4,79,10.153
2015-01-14-23,14.6,11.0,79,9.901
2015-01-14-24,14.4,10.7,78,9.712
2015-01-15-01,14.1,10.4,78,9.53
2015-01-15-02,13.6,10.3,80,9.483
2015-01-15-03,13.3,10.3,82,9.493
2015-01-15-04,13.2,10.2,82,9.433
2015-01-15-05,13.0,10.2,83,9.439
2015-01-15-06,13.0,10.1,83,9.376
2015-01-15-07,12.9,10.0,83,9.317
2015-01-15-08,13.9,10.4,79,9.536
2015-01-15-09,15.5,10.7,73,9.675
2015-01-15-10,17.1,11.5,70,10.147
2015-01-15-11,18.4,11.8,65,10.304
2015-01-15-12,20.1,12.4,61,10.657
2015-01-15-13,21.3,13.1,60,11.112
2015-01-15-14,22.2,13.6,58,11.445
2015-01-15-15,21.3,13.8,62,11.63
2015-01-15-16,20.1,13.5,66,11.452
2015-01-15-17,19.1,12.5,66,10.764
2015-01-15-18,18.1,12.3,69,10.66
2015-01-15-19,17.3,12.4,73,10.76
2015-01-15-20,16.5,12.4,77,10.789
2015-01-15-21,16.4,12.5,78,10.864
2015-01-15-22,16.6,12.4,76,10.786
2015-01-15-23,16.2,12.2,77,10.659
2015-01-15-24,16.2,11.6,74,10.246
2015-01-16-01,16.1,11.3,73,10.048
2015-01-16-02,15.8,11.1,74,9.926
2015-01-16-03,15.3,11.1,76,9.943
2015-01-16-04,15.0,10.9,76,9.822
2015-01-16-05,15.1,11.0,76,9.884
2015-01-16-06,15.3,11.1,76,9.943
2015-01-16-07,15.1,11.3,78,10.083
2015-01-16-08,15.9,11.3,74,10.055
2015-01-16-09,17.0,11.8,71,10.353
2015-01-16-10,18.6,12.7,69,10.925
2015-01-16-11,20.0,12.9,64,11.016
2015-01-16-12,20.7,14.1,66,11.883
2015-01-16-13,21.2,14.3,65,12.018
2015-01-16-14,20.9,14.1,65,11.875
2015-01-16-15,20.3,13.2,64,11.223
2015-01-16-16,19.6,13.4,67,11.397
2015-01-16-17,18.5,13.5,73,11.515
2015-01-16-18,17.4,13.2,76,11.335
2015-01-16-19,16.8,13.0,78,11.211
2015-01-16-20,16.0,12.9,82,11.168
2015-01-16-21,15.6,12.8,83,11.111
2015-01-16-22,15.2,12.6,84,10.981
2015-01-16-23,15.1,12.5,84,10.913
2015-01-16-24,14.9,12.4,85,10.849
2015-01-17-01,14.8,12.3,85,10.782
2015-01-17-02,14.4,12.2,87,10.726
2015-01-17-03,13.9,12.0,88,10.604
2015-01-17-04,13.8,11.8,88,10.469
2015-01-17-05,13.7,11.4,86,10.199
2015-01-17-06,13.7,10.8,83,9.801
2015-01-17-07,13.4,10.3,81,9.489
2015-01-17-08,14.0,10.1,77,9.344
2015-01-17-09,15.5,11.1,75,9.936
2015-01-17-10,16.5,11.3,71,10.034
2015-01-17-11,18.8,11.5,63,10.088
2015-01-17-12,20.3,12.3,60,10.58
2015-01-17-13,21.6,12.0,54,10.327
2015-01-17-14,22.1,12.0,53,10.31
2015-01-17-15,21.3,10.9,51,9.612
2015-01-17-16,20.5,10.6,53,9.447
2015-01-17-17,18.7,10.2,58,9.255
2015-01-17-18,17.3,9.9,62,9.115
2015-01-17-19,16.2,9.4,64,8.847
2015-01-17-20,15.5,8.9,65,8.575
2015-01-17-21,15.1,8.4,64,8.301
2015-01-17-22,14.5,7.9,65,8.04
2015-01-17-23,14.2,7.7,65,7.939
2015-01-17-24,13.8,7.8,67,8.005
2015-01-18-01,13.7,7.7,67,7.953
2015-01-18-02,13.5,7.8,68,8.013
2015-01-18-03,13.1,7.9,71,8.079
2015-01-18-04,13.2,8.0,71,8.132
2015-01-18-05,13.0,8.1,72,8.193
2015-01-18-06,13.1,8.0,71,8.134
2015-01-18-07,12.7,8.0,73,8.146
2015-01-18-08,13.5,8.6,72,8.461
2015-01-18-09,14.7,9.2,70,8.774
2015-01-18-10,16.1,9.5,65,8.91
2015-01-18-11,17.6,9.8,60,9.044
2015-01-18-12,19.2,10.1,56,9.178
2015-01-18-13,19.5,10.3,55,9.292
2015-01-18-14,19.8,10.8,56,9.597
2015-01-18-15,19.7,12.2,62,10.532
2015-01-18-16,20.0,12.5,62,10.731
2015-01-18-17,18.6,12.6,68,10.853
2015-01-18-18,17.3,12.3,72,10.689
2015-01-18-19,16.5,12.2,76,10.648
2015-01-18-20,15.9,12.2,79,10.67
2015-01-18-21,15.7,12.2,80,10.678
2015-01-18-22,15.5,12.1,80,10.615
2015-01-18-23,15.3,11.9,80,10.483
2015-01-18-24,15.1,11.8,81,10.422
2015-01-19-01,15.0,11.5,80,10.221
2015-01-19-02,14.6,11.1,80,9.967
2015-01-19-03,14.4,11.1,81,9.974
2015-01-19-04,14.5,10.8,78,9.774
2015-01-19-05,14.3,10.1,76,9.334
2015-01-19-06,14.3,9.9,75,9.21
2015-01-19-07,14.0,9.8,76,9.158
2015-01-19-08,13.9,10.2,78,9.41
2015-01-19-09,14.6,11.4,81,10.167
2015-01-19-10,15.8,12.1,79,10.604
2015-01-19-11,18.1,12.4,69,10.73
2015-01-19-12,20.3,12.8,62,10.933
2015-01-19-13,21.1,12.7,59,10.832
2015-01-19-14,21.6,12.4,56,10.603
2015-01-19-15,21.9,13.2,58,11.162
2015-01-19-16,20.9,11.6,55,10.082
2015-01-19-17,20.1,11.0,56,9.715
2015-01-19-18,19.1,11.1,60,9.814
2015-01-19-19,18.2,11.0,63,9.779
2015-01-19-20,17.2,10.7,66,9.618
2015-01-19-21,16.7,10.4,66,9.444
2015-01-19-22,16.6,10.2,66,9.322
2015-01-19-23,16.4,9.9,65,9.143
2015-01-19-24,15.9,9.8,67,9.098
2015-01-20-01,15.6,9.7,68,9.046
2015-01-20-02,15.7,9.5,67,8.922
2015-01-20-03,15.8,10.3,70,9.411
2015-01-20-04,15.9,11.2,74,9.988
2015-01-20-05,15.6,10.7,73,9.672
2015-01-20-06,15.9,10.9,72,9.791
2015-01-20-07,16.2,11.4,73,10.111
2015-01-20-08,16.9,11.4,70,10.087
2015-01-20-09,18.4,13.0,71,11.149
2015-01-20-10,19.1,13.5,70,11.491
2015-01-20-11,20.0,13.9,68,11.758
2015-01-20-12,21.1,14.6,66,12.257
2015-01-20-13,21.7,15.0,66,12.552
2015-01-20-14,21.8,14.6,64,12.228
2015-01-20-15,21.0,14.5,66,12.182
2015-01-20-16,20.5,13.7,65,11.586
2015-01-20-17,19.3,13.7,70,11.634
2015-01-20-18,19.2,13.5,70,11.487
2015-01-20-19,19.4,13.5,69,11.479
2015-01-20-20,19.0,13.8,72,11.722
2015-01-20-21,18.7,14.2,75,12.042
2015-01-20-22,18.6,14.9,79,12.604
2015-01-20-23,18.1,14.8,81,12.544
2015-01-20-24,17.1,14.5,85,12.346
2015-01-21-01,17.3,14.5,84,12.337
2015-01-21-02,17.1,14.4,84,12.266
2015-01-21-03,16.9,14.5,86,12.355
2015-01-21-04,17.0,14.6,86,12.43
2015-01-21-05,16.6,14.6,88,12.447
2015-01-21-06,16.7,14.9,89,12.686
2015-01-21-07,16.6,15.0,90,12.773
2015-01-21-08,16.9,15.1,89,12.842
2015-01-21-09,17.2,15.0,87,12.746
2015-01-21-10,17.4,14.8,85,12.574
2015-01-21-11,18.0,14.8,82,12.548
2015-01-21-12,18.9,14.9,78,12.591
2015-01-21-13,20.7,15.3,71,12.84
2015-01-21-14,21.5,15.7,70,13.137
2015-01-21-15,21.0,15.4,70,12.909
2015-01-21-16,20.4,15.2,72,12.77
2015-01-21-17,20.1,14.5,70,12.22
2015-01-21-18,19.6,12.1,62,10.466
2015-01-21-19,18.5,12.6,68,10.857
2015-01-21-20,17.3,13.2,77,11.338
2015-01-21-21,17.2,13.0,76,11.195
2015-01-21-22,16.8,12.7,77,10.992
2015-01-21-23,16.3,12.5,78,10.868
2015-01-21-24,16.4,12.3,77,10.722
2015-01-22-01,16.7,10.7,68,9.635
2015-01-22-02,15.8,10.9,73,9.795
2015-01-22-03,15.3,10.7,74,9.682
2015-01-22-04,15.2,9.9,71,9.181
2015-01-22-05,15.0,8.5,65,8.36
2015-01-22-06,14.6,9.3,70,8.837
2015-01-22-07,14.4,9.7,73,9.084
2015-01-22-08,15.3,9.0,66,8.639
2015-01-22-09,16.7,8.9,60,8.539
2015-01-22-10,18.4,7.3,48,7.614
2015-01-22-11,19.8,6.9,43,7.372
2015-01-22-12,20.7,5.6,37,6.719
2015-01-22-13,22.1,5.3,33,6.549
2015-01-22-14,21.7,5.5,35,6.65
2015-01-22-15,20.7,9.3,48,8.653
2015-01-22-16,20.5,8.6,46,8.259
2015-01-22-17,19.3,8.2,49,8.071
2015-01-22-18,17.8,7.8,52,7.895
2015-01-22-19,16.4,9.1,62,8.664
2015-01-22-20,15.7,9.4,66,8.862
2015-01-22-21,15.4,9.1,66,8.694
2015-01-22-22,14.8,9.1,69,8.712
2015-01-22-23,14.4,8.9,70,8.607
2015-01-22-24,14.1,9.0,71,8.675
2015-01-23-01,14.2,9.1,71,8.73
2015-01-23-02,14.0,9.1,72,8.736
2015-01-23-03,13.9,9.0,72,8.681
2015-01-23-04,13.8,8.4,70,8.338
2015-01-23-05,13.6,7.9,68,8.065
2015-01-23-06,13.5,7.8,68,8.013
2015-01-23-07,12.8,6.5,65,7.348
2015-01-23-08,13.9,7.0,63,7.576
2015-01-23-09,16.2,8.3,59,8.213
2015-01-23-10,18.7,10.4,58,9.379
2015-01-23-11,20.2,11.4,57,9.973
2015-01-23-12,20.6,10.6,53,9.444
2015-01-23-13,20.8,9.3,48,8.65
2015-01-23-14,20.5,8.8,47,8.372
2015-01-23-15,20.3,9.9,51,9.021
2015-01-23-16,19.2,9.9,55,9.055
2015-01-23-17,18.5,8.8,53,8.429
2015-01-23-18,18.2,8.3,52,8.157
2015-01-23-19,17.7,9.6,59,8.921
2015-01-23-20,17.0,9.3,60,8.764
2015-01-23-21,16.6,9.5,63,8.895
2015-01-23-22,16.2,9.7,65,9.027
2015-01-23-23,15.9,9.7,67,9.037
2015-01-23-24,15.7,9.8,68,9.104
2015-01-24-01,14.7,9.8,72,9.135
2015-01-24-02,14.4,9.6,73,9.023
2015-01-24-03,14.1,10.1,77,9.34
2015-01-24-04,14.1,10.0,76,9.278
2015-01-24-05,13.9,9.9,77,9.223
2015-01-24-06,13.9,9.4,74,8.918
2015-01-24-07,13.8,9.1,73,8.743
2015-01-24-08,15.4,9.9,70,9.175
2015-01-24-09,16.9,10.1,64,9.25
2015-01-24-10,19.2,9.8,54,8.995
2015-01-24-11,21.5,8.9,44,8.4
2015-01-24-12,22.1,7.2,38,7.467
2015-01-24-13,22.8,9.1,42,8.477
2015-01-24-14,22.4,10.5,47,9.324
2015-01-24-15,22.2,11.2,50,9.775
2015-01-24-16,21.1,10.6,51,9.428
2015-01-24-17,20.6,7.4,42,7.609
2015-01-24-18,19.7,10.2,54,9.223
2015-01-24-19,18.8,9.8,56,9.007
2015-01-24-20,17.8,10.5,62,9.471
2015-01-24-21,17.2,11.4,69,10.076
2015-01-24-22,17.2,11.7,70,10.278
2015-01-24-23,17.5,11.3,67,9.999
2015-01-24-24,17.8,11.1,65,9.857
2015-01-25-01,17.8,11.9,68,10.393
2015-01-25-02,17.4,11.9,70,10.408
2015-01-25-03,16.8,11.8,72,10.361
2015-01-25-04,16.9,11.6,71,10.221
2015-01-25-05,17.4,11.7,69,10.271
2015-01-25-06,17.4,11.7,69,10.271
2015-01-25-07,17.9,11.0,64,9.789
2015-01-25-08,18.8,11.4,62,10.021
2015-01-25-09,20.9,11.7,56,10.149
2015-01-25-10,20.6,12.2,59,10.5
2015-01-25-11,21.3,13.2,60,11.184
2015-01-25-12,22.6,11.8,50,10.157
2015-01-25-13,24.5,9.6,39,8.717
2015-01-25-14,24.9,9.8,38,8.823
2015-01-25-15,24.5,10.9,42,9.508
2015-01-25-16,24.0,10.8,43,9.461
2015-01-25-17,22.9,11.9,50,10.214
2015-01-25-18,21.6,10.2,48,9.164
2015-01-25-19,20.5,8.6,46,8.259
2015-01-25-20,19.6,13.5,68,11.472
2015-01-25-21,19.1,12.8,67,10.978
2015-01-25-22,18.8,13.5,71,11.503
2015-01-25-23,18.4,13.9,75,11.822
2015-01-25-24,18.0,14.0,77,11.916
2015-01-26-01,17.7,14.0,79,11.928
2015-01-26-02,17.5,14.7,84,12.489
2015-01-26-03,17.4,14.7,84,12.494
2015-01-26-04,17.0,14.5,85,12.35
